Theta,Phi,Gain_RHCP,Gain_RHCP_Phase,Gain_LHCP,Gain_LHCP_Phase
112,117,-16.75057832,-137.8795022,-5.485022624,0.214797437
113,117,-17.12047069,-138.7207395,-5.346712111,-0.058915208
114,117,-17.47313307,-139.0772086,-5.208063439,-0.357249429
115,117,-17.8222608,-138.8363412,-5.069377718,-0.671725569
116,117,-18.18301275,-137.9094504,-4.930948317,-0.992857059
117,117,-18.57053995,-136.2281357,-4.793058417,-1.310718737
118,117,-18.99903719,-133.7363735,-4.65597731,-1.615509243
119,117,-19.48131599,-130.3797128,-4.519955084,-1.89807747
120,117,-20.02867994,-126.0919098,-4.38521607,-2.150387193
121,117,-20.65068005,-120.7780202,-4.251952012,-2.365899164
122,117,-21.35400438,-114.292003,-4.120316211,-2.539855779
123,117,-22.13908295,-106.4073858,-3.990419882,-2.669459278
124,117,-22.99167493,-96.78528356,-3.862331624,-2.753940144
125,117,-23.86498417,-84.96664142,-3.736080364,-2.794517538
126,117,-24.64967455,-70.4777366,-3.611661516,-2.794258356
127,117,-25.1500723,-53.21973589,-3.489045519,-2.757845657
128,117,-25.13593817,-34.11865663,-3.368187473,-2.691270982
129,117,-24.51127459,-15.19249101,-3.24903647,-2.601468275
130,117,-23.41391499,1.668477031,-3.131543263,-2.495909609
131,117,-22.08616592,15.76243454,-3.015665298,-2.382184521
132,117,-20.71811121,27.33407487,-2.90136864,-2.267585188
133,117,-19.41323173,36.93120078,-2.788626936,-2.158718864
134,117,-18.21624509,45.0655892,-2.677418057,-2.061166924
135,117,-17.1417073,52.1304438,-2.567719508,-1.97920674
